city,year,month,mean_daily_max_uvi
Adelaide,2022,1,11.719354838709679
Adelaide,2022,2,10.509285714285713
Adelaide,2022,3,7.745161290322581
Adelaide,2022,4,4.884666666666666
Adelaide,2022,5,3.069032258064516
Adelaide,2022,6,2.1513333333333335
Adelaide,2022,7,2.2158064516129032
Adelaide,2022,8,3.3280645161290323
Adelaide,2022,9,5.417666666666666
Adelaide,2022,10,7.650645161290322
Adelaide,2022,11,10.369333333333334
Adelaide,2022,12,12.033225806451613
Adelaide,2023,1,11.915161290322581
Adelaide,2023,2,10.989285714285714
Adelaide,2023,3,8.184516129032257
Adelaide,2023,4,5.263
Adelaide,2023,5,2.8906451612903226
Adelaide,2023,6,2.0153333333333334
Adelaide,2023,7,2.3390322580645164
Adelaide,2023,8,3.3522580645161293
Adelaide,2023,9,5.096666666666667
Adelaide,2023,10,7.541935483870968
Adelaide,2023,11,8.664666666666667
Adelaide,2023,12,10.425483870967742
Adelaide,2024,1,11.188387096774193
Adelaide,2024,2,10.66655172413793
Adelaide,2024,3,8.153870967741936
Adelaide,2024,4,5.1033333333333335
Adelaide,2024,5,2.6258064516129034
Adelaide,2024,6,1.8743333333333332
Adelaide,2024,7,2.165483870967742
Adelaide,2024,8,3.329032258064516
Adelaide,2024,9,5.076333333333333
Adelaide,2024,10,7.4799999999999995
Adelaide,2024,11,9.289333333333333
Adelaide,2024,12,11.333870967741936
Brisbane,2022,1,13.241612903225807
Brisbane,2022,2,11.442857142857141
Brisbane,2022,3,10.113870967741937
Brisbane,2022,4,7.407666666666667
Brisbane,2022,5,4.279032258064516
Brisbane,2022,6,3.615
Brisbane,2022,7,3.4980645161290322
Brisbane,2022,8,5.19258064516129
Brisbane,2022,9,7.244
Brisbane,2022,10,8.596451612903227
Brisbane,2022,11,11.419333333333332
Brisbane,2022,12,12.361290322580645
Brisbane,2023,1,12.99258064516129
Brisbane,2023,2,12.505357142857141
Brisbane,2023,3,9.441935483870967
Brisbane,2023,4,6.9399999999999995
Brisbane,2023,5,4.6167741935483875
Brisbane,2023,6,3.661
Brisbane,2023,7,3.7748387096774194
Brisbane,2023,8,5.120322580645161
Brisbane,2023,9,6.9623333333333335
Brisbane,2023,10,9.29516129032258
Brisbane,2023,11,10.101666666666667
Brisbane,2023,12,11.153548387096773
Brisbane,2024,1,12.45032258064516
Brisbane,2024,2,12.052068965517241
Brisbane,2024,3,9.792903225806452
Brisbane,2024,4,7.279
Brisbane,2024,5,4.782903225806452
Brisbane,2024,6,3.615
Brisbane,2024,7,3.7929999999999997
Brisbane,2024,8,5.182258064516129
Brisbane,2024,9,7.203
Brisbane,2024,10,8.98967741935484
Brisbane,2024,11,9.758333333333333
Brisbane,2024,12,12.386129032258065
Canberra,2022,1,11.816774193548387
Canberra,2022,2,10.714642857142858
Canberra,2022,3,8.07
Canberra,2022,4,4.9943333333333335
Canberra,2022,5,2.946774193548387
Canberra,2022,6,2.1696666666666666
Canberra,2022,7,2.2783870967741935
Canberra,2022,8,3.3851612903225807
Canberra,2022,9,5.419666666666667
Canberra,2022,10,7.112903225806452
Canberra,2022,11,9.987666666666666
Canberra,2022,12,11.110322580645162
Canberra,2023,1,11.540000000000001
Canberra,2023,2,10.487857142857143
Canberra,2023,3,7.638064516129032
Canberra,2023,4,4.997
Canberra,2023,5,2.813225806451613
Canberra,2023,6,1.9563333333333333
Canberra,2023,7,2.2519354838709678
Canberra,2023,8,3.1270967741935483
Canberra,2023,9,5.032666666666667
Canberra,2023,10,6.983870967741935
Canberra,2023,11,8.435333333333334
Canberra,2023,12,10.396774193548387
Canberra,2024,1,11.046451612903226
Canberra,2024,2,10.14448275862069
Canberra,2024,3,7.4561290322580644
Canberra,2024,4,4.596
Canberra,2024,5,2.5954838709677417
Canberra,2024,6,1.8103333333333333
Canberra,2024,7,2.099354838709677
Canberra,2024,8,3.276451612903226
Canberra,2024,9,5.006333333333333
Canberra,2024,10,7.185806451612903
Canberra,2024,11,8.631
Canberra,2024,12,11.105483870967742
Darwin,2022,1,13.735161290322582
Darwin,2022,2,12.781428571428572
Darwin,2022,3,14.24709677419355
Darwin,2022,4,11.690333333333333
Darwin,2022,5,8.808709677419355
Darwin,2022,6,7.717
Darwin,2022,7,8.432258064516128
Darwin,2022,8,10.183870967741935
Darwin,2022,9,12.699666666666667
Darwin,2022,10,14.20258064516129
Darwin,2022,11,13.360333333333333
Darwin,2022,12,12.567096774193548
Darwin,2023,1,13.097096774193549
Darwin,2023,2,13.161071428571429
Darwin,2023,3,13.740967741935485
Darwin,2023,4,11.487666666666666
Darwin,2023,5,8.66451612903226
Darwin,2023,6,7.563
Darwin,2023,7,7.7219354838709675
Darwin,2023,8,10.177741935483871
Darwin,2023,9,10.889333333333333
Darwin,2023,10,11.275806451612903
Darwin,2023,11,12.539666666666667
Darwin,2023,12,13.355483870967742
Darwin,2024,1,11.225161290322582
Darwin,2024,2,12.950000000000001
Darwin,2024,3,13.652903225806451
Darwin,2024,4,11.632
Darwin,2024,5,8.68741935483871
Darwin,2024,6,8.099333333333332
Darwin,2024,7,8.65548387096774
Darwin,2024,8,10.60774193548387
Darwin,2024,9,13.262666666666666
Darwin,2024,10,12.26516129032258
Darwin,2024,11,12.169333333333332
Darwin,2024,12,12.861290322580645
Hobart,2022,1,10.275806451612903
Hobart,2022,2,8.899642857142856
Hobart,2022,3,6.256129032258064
Hobart,2022,4,3.452
Hobart,2022,5,1.6083870967741936
Hobart,2022,6,1.0193333333333334
Hobart,2022,7,1.187741935483871
Hobart,2022,8,2.1006451612903225
Hobart,2022,9,3.4856666666666665
Hobart,2022,10,5.496774193548387
Hobart,2022,11,8.087333333333333
Hobart,2022,12,10.421290322580646
Hobart,2023,1,10.58290322580645
Hobart,2023,2,8.183928571428572
Hobart,2023,3,5.895806451612904
Hobart,2023,4,3.140333333333333
Hobart,2023,5,1.5183870967741935
Hobart,2023,6,0.9756666666666667
Hobart,2023,7,1.1419354838709677
Hobart,2023,8,1.9967741935483871
Hobart,2023,9,3.6450000000000005
Hobart,2023,10,5.581612903225807
Hobart,2023,11,8.018666666666666
Hobart,2023,12,10.43774193548387
Hobart,2024,1,10.096451612903227
Hobart,2024,2,8.944482758620689
Hobart,2024,3,6.264838709677419
Hobart,2024,4,3.332333333333333
Hobart,2024,5,1.5680645161290323
Hobart,2024,6,0.9376666666666666
Hobart,2024,7,1.0958064516129031
Hobart,2024,8,1.9141935483870967
Hobart,2024,9,3.606
Hobart,2024,10,5.81258064516129
Hobart,2024,11,7.734
Hobart,2024,12,10.807096774193548
Melbourne,2022,1,11.392903225806451
Melbourne,2022,2,10.117142857142856
Melbourne,2022,3,7.432258064516129
Melbourne,2022,4,4.282
Melbourne,2022,5,2.460322580645161
Melbourne,2022,6,1.8293333333333335
Melbourne,2022,7,1.8512903225806452
Melbourne,2022,8,2.7854838709677416
Melbourne,2022,9,4.721
Melbourne,2022,10,6.420645161290322
Melbourne,2022,11,9.154666666666666
Melbourne,2022,12,10.50290322580645
Melbourne,2023,1,10.055483870967741
Melbourne,2023,2,8.740714285714287
Melbourne,2023,3,6.8025806451612905
Melbourne,2023,4,4.2636666666666665
Melbourne,2023,5,2.394838709677419
Melbourne,2023,6,1.6453333333333333
Melbourne,2023,7,1.8419354838709678
Melbourne,2023,8,2.9003225806451614
Melbourne,2023,9,4.623333333333333
Melbourne,2023,10,6.272258064516129
Melbourne,2023,11,8.373
Melbourne,2023,12,9.323225806451612
Melbourne,2024,1,10.189354838709678
Melbourne,2024,2,9.696206896551724
Melbourne,2024,3,7.252580645161291
Melbourne,2024,4,4.364999999999999
Melbourne,2024,5,2.3603225806451613
Melbourne,2024,6,1.6973333333333334
Melbourne,2024,7,1.595483870967742
Melbourne,2024,8,2.9416129032258063
Melbourne,2024,9,4.3613333333333335
Melbourne,2024,10,7.020967741935484
Melbourne,2024,11,8.446333333333333
Melbourne,2024,12,11.01290322580645
Perth,2022,1,11.879354838709677
Perth,2022,2,11.897142857142857
Perth,2022,3,9.545806451612904
Perth,2022,4,6.384
Perth,2022,5,3.9338709677419357
Perth,2022,6,3.0646666666666667
Perth,2022,7,3.1599999999999997
Perth,2022,8,4.394516129032258
Perth,2022,9,6.617
Perth,2022,10,8.900967741935483
Perth,2022,11,11.610333333333333
Perth,2022,12,12.416774193548388
Perth,2023,1,12.623548387096774
Perth,2023,2,11.2925
Perth,2023,3,9.25
Perth,2023,4,6.2123333333333335
Perth,2023,5,3.544516129032258
Perth,2023,6,2.5473333333333334
Perth,2023,7,2.945806451612903
Perth,2023,8,4.22741935483871
Perth,2023,9,6.128666666666667
Perth,2023,10,8.49
Perth,2023,11,10.29
Perth,2023,12,11.755806451612903
Perth,2024,1,12.194516129032259
Perth,2024,2,11.414827586206895
Perth,2024,3,9.285806451612904
Perth,2024,4,5.901666666666667
Perth,2024,5,3.5864516129032262
Perth,2024,6,2.826
Perth,2024,7,3.1593548387096773
Perth,2024,8,4.41258064516129
Perth,2024,9,6.381
Perth,2024,10,8.698064516129032
Perth,2024,11,10.064666666666666
Perth,2024,12,12.040000000000001
Sydney,2022,1,11.795806451612904
Sydney,2022,2,10.947857142857144
Sydney,2022,3,8.280967741935482
Sydney,2022,4,5.646333333333333
Sydney,2022,5,3.356451612903226
Sydney,2022,6,2.4836666666666667
Sydney,2022,7,2.4335483870967742
Sydney,2022,8,3.950967741935484
Sydney,2022,9,5.838666666666667
Sydney,2022,10,8.178064516129032
Sydney,2022,11,10.052
Sydney,2022,12,11.279032258064515
Sydney,2023,1,11.26774193548387
Sydney,2023,2,10.203214285714285
Sydney,2023,3,7.679354838709678
Sydney,2023,4,5.316333333333334
Sydney,2023,5,3.0048387096774194
Sydney,2023,6,2.1496666666666666
Sydney,2023,7,2.553225806451613
Sydney,2023,8,3.4793548387096775
Sydney,2023,9,5.305666666666666
Sydney,2023,10,7.734516129032259
Sydney,2023,11,9.081
Sydney,2023,12,10.410645161290324
Sydney,2024,1,11.975806451612904
Sydney,2024,2,10.504827586206897
Sydney,2024,3,8.064838709677419
Sydney,2024,4,4.8886666666666665
Sydney,2024,5,2.9819354838709677
Sydney,2024,6,2.037333333333333
Sydney,2024,7,2.4696774193548388
Sydney,2024,8,3.61258064516129
Sydney,2024,9,5.408333333333333
Sydney,2024,10,7.608387096774194
Sydney,2024,11,9.138
Sydney,2024,12,11.20774193548387
